buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-4883.733736,6544.582267,163.0,2636.219335,36.0,2.622894,0.0,435.273574,0.227221,4410.271903,1.26128,0.0,0.0,1.26128,87000.0,45.415683,599.622894,199.874298,881500.0,252.097493,75.0,0.0,0.0,trace0000.json
25000.0,-6260.05743,10194.862478,134.0,1978.440638,64.0,3.2778,0.0,164.92364,0.062117,4203.053987,1.155576,0.0,0.0,1.155576,33000.0,12.429216,600.2778,200.0926,841000.0,231.222233,120.0,0.0,0.0,trace0001.json
25000.0,-3898.106536,6156.377881,140.0,1284.811305,61.0,3.013877,0.0,179.995837,0.071307,4209.902633,1.148156,0.0,0.0,1.148156,36000.0,14.261798,600.013877,200.004626,842000.0,229.636512,180.0,0.0,0.0,trace0002.json
25000.0,-18405.229685,23961.320499,158.0,3541.329032,40.0,2.369499,0.0,292.807692,0.140178,4329.54964,1.211364,0.0,0.0,1.211364,58500.0,28.006159,599.369499,199.789833,865000.0,242.018295,105.0,0.0,0.0,trace0003.json
25000.0,-5678.040688,8178.487782,152.0,2408.511619,47.0,1.878431,0.0,443.328707,0.232094,4523.455616,1.320283,0.0,0.0,1.320283,88500.0,46.331973,598.878431,199.626144,903000.0,263.562985,165.0,0.0,0.0,trace0004.json
25000.0,-3657.310108,6569.784734,137.0,2577.205888,64.0,3.965309,0.002703,397.774385,0.204312,4503.106244,1.309555,0.00811,0.010007,1.296039,79500.0,40.834229,599.58612,199.86204,900000.0,261.730404,150.0,1.620811,2.0,trace0005.json
25000.0,-5984.427316,8142.327163,157.0,2082.007827,42.0,5.448682,0.0,351.067246,0.175964,4349.748083,1.226876,0.0,0.0,1.226876,70500.0,35.336484,602.448682,200.816227,873500.0,246.376605,75.0,0.0,0.0,trace0006.json
25000.0,-9012.235991,12786.140825,147.0,1865.489707,51.0,3.402025,0.000473,149.828675,0.052923,4177.722898,1.141062,0.001419,0.004994,1.138698,30000.0,10.596635,600.686082,200.228694,836500.0,228.473361,135.0,0.284057,1.0,trace0007.json
25000.0,-9839.997096,15145.836129,137.0,2076.395486,61.0,3.179167,0.0,149.955222,0.052967,4216.240985,1.15242,0.0,0.0,1.15242,30000.0,10.596635,600.179167,200.059722,843500.0,230.552802,255.0,0.0,0.0,trace0008.json
25000.0,-5632.8506,7838.224053,154.0,1914.427441,45.0,2.736496,0.0,270.118629,0.126342,4319.396963,1.20604,0.0,0.0,1.20604,54000.0,25.257286,599.736496,199.912165,863500.0,241.102004,75.0,0.0,0.0,trace0009.json
25000.0,-6529.012341,8875.11806,157.0,2240.954274,42.0,2.364841,0.0,450.476874,0.236492,4479.74225,1.3031,0.0,0.0,1.3031,90000.0,47.248264,599.364841,199.78828,895000.0,260.344109,75.0,0.0,0.0,trace0010.json
25000.0,-5321.31604,7684.40675,152.0,2487.157609,46.0,2.004197,0.0,300.498729,0.144853,4432.356257,1.264937,0.0,0.0,1.264937,60000.0,28.922449,599.004197,199.668066,885000.0,252.567497,150.0,0.0,0.0,trace0011.json
25000.0,-4268.629188,7949.361202,127.0,2223.773115,72.0,2.665596,0.0,345.19239,0.172197,4319.907659,1.212999,0.0,0.0,1.212999,69000.0,34.420194,599.665596,199.888532,863500.0,242.464582,160.0,0.0,0.0,trace0012.json
25000.0,-2868.102617,4118.242355,157.0,1592.623265,44.0,1.97468,0.0,300.513538,0.14486,4395.010488,1.242053,0.0,0.0,1.242053,60000.0,28.922449,598.97468,199.658227,877500.0,247.986043,150.0,0.0,0.0,trace0013.json
25000.0,-5193.620941,8595.315291,134.0,1928.676606,64.0,1.774572,0.0,428.374905,0.222952,4524.24022,1.320512,0.0,0.0,1.320512,85500.0,44.499392,598.774572,199.591524,903000.0,263.562985,270.0,0.0,0.0,trace0014.json
25000.0,-8507.752227,11538.984155,154.0,2101.559524,44.0,2.881084,0.0,195.038655,0.080488,4245.841498,1.165624,0.0,0.0,1.165624,39000.0,16.094379,599.881084,199.960361,849000.0,233.078531,105.0,0.0,0.0,trace0015.json
25000.0,-4460.168112,6444.705026,151.0,1915.684527,47.0,2.592693,0.0,210.142654,0.089696,4267.897239,1.174237,0.0,0.0,1.174237,42000.0,17.926961,599.592693,199.864231,853000.0,234.687969,75.0,0.0,0.0,trace0016.json
25000.0,-2768.16159,4068.125663,154.0,1680.604349,45.0,2.015357,0.0,315.517788,0.154028,4572.50381,1.346397,0.0,0.0,1.346397,63000.0,30.755031,599.015357,199.671786,913000.0,268.837586,150.0,0.0,0.0,trace0017.json
25000.0,-4840.503918,8492.418315,130.0,2141.097134,68.0,2.478589,0.0,397.845735,0.204349,4381.307436,1.243242,0.0,0.0,1.243242,79500.0,40.834229,599.478589,199.826196,875500.0,248.43233,105.0,0.0,0.0,trace0018.json
25000.0,-6774.199371,8787.059229,162.0,2283.669991,36.0,2.320742,0.0,360.408017,0.181469,4382.461371,1.243569,0.0,0.0,1.243569,72000.0,36.252775,599.320742,199.773581,875500.0,248.43233,75.0,0.0,0.0,trace0019.json
25000.0,-4495.594529,8959.725077,120.0,2285.363265,79.0,1.805478,0.0,375.748066,0.190807,4516.491751,1.315853,0.0,0.0,1.315853,75000.0,38.085357,598.805478,199.601826,901500.0,262.646695,85.0,0.0,0.0,trace0020.json
25000.0,-5200.362109,7629.895339,149.0,1897.685957,51.0,2.655768,0.0,360.206658,0.181368,4349.995678,1.224538,0.0,0.0,1.224538,72000.0,36.252775,599.655768,199.885256,869500.0,244.767167,75.0,0.0,0.0,trace0021.json
25000.0,-4614.903054,6089.523157,168.0,3376.586532,31.0,2.332741,0.0,390.434202,0.199812,4397.390334,1.252718,0.0,0.0,1.252718,78000.0,39.917938,599.332741,199.77758,878500.0,250.264911,150.0,0.0,0.0,trace0022.json
25000.0,-3730.86334,6449.189216,132.0,1705.788412,66.0,1.930471,0.0,195.348218,0.080616,4272.616147,1.175535,0.0,0.0,1.175535,39000.0,16.094379,598.930471,199.64349,853000.0,234.687969,135.0,0.0,0.0,trace0023.json
25000.0,-4213.744241,6716.524137,143.0,2065.159709,57.0,3.018938,0.0,164.994792,0.062144,4182.367988,1.142331,0.0,0.0,1.142331,33000.0,12.429216,600.018938,200.006313,836500.0,228.473361,90.0,0.0,0.0,trace0024.json
25000.0,-3477.468784,5239.813654,148.0,1636.786917,51.0,2.068351,0.0,458.211487,0.241197,4444.401036,1.280802,0.0,0.0,1.280802,91500.0,48.164555,599.068351,199.68945,887500.0,255.762656,115.0,0.0,0.0,trace0025.json
25000.0,-3376.477238,4863.27621,158.0,2496.378702,40.0,3.707884,0.0,426.996227,0.222235,4377.335593,1.258884,0.0,0.0,1.258884,85500.0,44.499392,600.707884,200.235961,876500.0,252.073776,160.0,0.0,0.0,trace0026.json
25000.0,-3074.191785,5177.966354,137.0,1574.471377,62.0,1.644425,0.0,368.33217,0.186266,4585.359666,1.357534,0.0,0.0,1.357534,73500.0,37.169066,598.644425,199.548142,915000.0,270.893311,45.0,0.0,0.0,trace0027.json
25000.0,-3890.378986,6591.49049,135.0,1552.15912,67.0,3.062662,0.0,179.981203,0.071302,4217.059584,1.159456,0.0,0.0,1.159456,36000.0,14.261798,600.062662,200.020887,843500.0,231.91538,105.0,0.0,0.0,trace0028.json
25000.0,-7811.576536,11214.236214,153.0,3757.466371,45.0,2.559545,0.0,337.747938,0.167643,4573.357265,1.356578,0.0,0.0,1.356578,67500.0,33.503903,599.559545,199.853182,914000.0,271.116455,30.0,0.0,0.0,trace0029.json
25000.0,-5757.337347,9333.88992,138.0,2203.376445,62.0,3.126606,0.0,179.962026,0.071294,4209.111836,1.154752,0.0,0.0,1.154752,36000.0,14.261798,600.126606,200.042202,842000.0,230.99909,165.0,0.0,0.0,trace0030.json
25000.0,-4963.030748,7523.801258,147.0,2139.483687,53.0,2.504415,0.0,360.297597,0.181414,4351.093898,1.224848,0.0,0.0,1.224848,72000.0,36.252775,599.504415,199.834805,869500.0,244.767167,180.0,0.0,0.0,trace0031.json
25000.0,-4639.30281,8712.782213,122.0,1732.03677,78.0,2.027778,0.0,413.169487,0.21368,4484.766981,1.297009,0.0,0.0,1.297009,82500.0,42.66681,599.027778,199.675926,895500.0,258.981532,195.0,0.0,0.0,trace0032.json
25000.0,-10370.788176,13902.25197,159.0,3324.400682,41.0,5.177778,0.0,411.008193,0.212563,4441.379439,1.282207,0.0,0.0,1.282207,82500.0,42.66681,602.177778,200.725926,891500.0,257.372094,170.0,0.0,0.0,trace0033.json
25000.0,-5157.117797,8901.319424,129.0,1742.910916,70.0,3.451087,0.001976,149.591117,0.052839,4196.03082,1.146165,0.005928,0.019945,1.136285,30000.0,10.596635,601.640004,200.546668,841500.0,229.859655,75.0,1.188917,4.0,trace0034.json
25000.0,-5596.980722,8363.651795,141.0,1246.889829,57.0,3.219048,8.3e-05,149.932852,0.052959,4200.618744,1.149899,0.000248,0.009996,1.149485,30000.0,10.596635,600.268711,200.08957,840500.0,230.082799,75.0,0.049664,2.0,trace0035.json
25000.0,-5173.008009,7781.767131,144.0,1535.229734,56.0,3.10768,0.0,149.973085,0.052974,4189.248172,1.146742,0.0,0.0,1.146742,30000.0,10.596635,600.10768,200.035893,838000.0,229.389652,75.0,0.0,0.0,trace0036.json
25000.0,-5695.249288,7712.936144,159.0,2530.704817,39.0,2.63633,0.0,397.741077,0.204295,4512.735241,1.319731,0.0,0.0,1.319731,79500.0,40.834229,599.63633,199.878777,902000.0,263.786129,75.0,0.0,0.0,trace0037.json
25000.0,-5074.419306,8290.793234,139.0,2503.139611,59.0,1.631146,0.0,263.100243,0.121983,4650.610008,1.393181,0.0,0.0,1.393181,52500.0,24.340996,598.631146,199.543715,928000.0,278.000493,120.0,0.0,0.0,trace0038.json
25000.0,-7603.455617,10303.787249,156.0,1970.447443,44.0,3.662448,0.0,299.669141,0.144453,4327.721851,1.213333,0.0,0.0,1.213333,60000.0,28.922449,600.662448,200.220816,866500.0,242.934586,165.0,0.0,0.0,trace0039.json
25000.0,-7638.750129,11306.393237,145.0,2395.367811,53.0,1.968239,0.0,428.236396,0.22288,4515.264453,1.315496,0.0,0.0,1.315496,85500.0,44.499392,598.968239,199.65608,901500.0,262.646695,90.0,0.0,0.0,trace0040.json
25000.0,-9224.486531,13106.388278,151.0,2987.329379,48.0,5.165849,0.0,239.136776,0.107572,4244.677781,1.177119,0.0,0.0,1.177119,48000.0,21.592124,602.165849,200.72195,852000.0,236.27369,85.0,0.0,0.0,trace0041.json
25000.0,-7567.850929,10043.948371,163.0,3053.30389,38.0,3.17355,0.0,254.926262,0.11709,4256.268873,1.187838,0.0,0.0,1.187838,51000.0,23.424705,600.17355,200.05785,851500.0,237.636268,120.0,0.0,0.0,trace0042.json
25000.0,-10279.400487,14437.725758,152.0,2619.894229,49.0,2.34639,0.0,405.441668,0.20898,4397.290192,1.252689,0.0,0.0,1.252689,81000.0,41.75052,599.34639,199.78213,878500.0,250.264911,180.0,0.0,0.0,trace0043.json
25000.0,-10021.718697,13360.881711,159.0,3591.792049,39.0,1.664758,0.0,353.286204,0.177076,4532.58683,1.325346,0.0,0.0,1.325346,70500.0,35.336484,598.664758,199.554919,904500.0,264.479276,150.0,0.0,0.0,trace0044.json
