buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-3770.190202,5501.901099,153.0,2117.626846,45.0,2.622894,0.0,465.292441,0.21829,5581.007723,1.436763,0.0,0.0,1.436763,93000.0,43.630534,599.622894,199.874298,1115500.0,287.172055,75.0,0.0,0.0,trace0000.json
25000.0,-5283.091004,8802.858843,134.0,2086.422908,64.0,3.2778,0.003893,283.759213,0.107727,5396.403281,1.333817,0.011678,0.004978,1.314354,57000.0,21.639557,602.623605,200.874535,1084000.0,267.929949,120.0,2.345805,1.0,trace0001.json
25000.0,-3202.241264,5660.779682,128.0,1293.371844,70.0,3.013877,0.004923,208.961441,0.062075,5383.244754,1.316017,0.014768,0.009951,1.291405,42000.0,12.476649,602.982058,200.994019,1082000.0,264.511646,165.0,2.968181,2.0,trace0002.json
25000.0,-15237.030542,21218.579903,151.0,3980.287618,47.0,2.369499,0.013698,303.606967,0.120398,5457.520367,1.359111,0.041093,0.01481,1.290622,61500.0,24.388429,607.693564,202.564521,1105500.0,275.307708,105.0,8.324064,3.0,trace0003.json
25000.0,-4453.933139,7293.402783,139.0,2235.664836,59.0,1.878431,0.0,473.38489,0.223151,5743.235729,1.496222,0.0,0.0,1.496222,94500.0,44.546825,598.878431,199.626144,1146500.0,298.68498,165.0,0.0,0.0,trace0004.json
25000.0,-3030.793799,5346.350292,139.0,2424.50031,59.0,9.965309,0.0,428.95465,0.19591,5724.412352,1.478999,0.0,0.0,1.478999,85500.0,39.04908,597.965309,199.32177,1141000.0,294.796674,150.0,0.0,0.0,trace0005.json
25000.0,-4385.101271,6260.56131,153.0,1991.46286,45.0,5.448682,0.001569,387.805581,0.171368,5496.398329,1.382342,0.004706,0.004972,1.3745,78000.0,34.467627,603.395133,201.131711,1105500.0,278.032864,75.0,0.946451,1.0,trace0006.json
25000.0,-8295.4431,11714.961191,150.0,2390.550934,48.0,3.402025,0.041736,234.617458,0.069696,5314.80364,1.306338,0.125208,0.081398,1.097657,49000.0,14.556091,626.55184,208.850613,1110000.0,272.829413,160.0,26.149815,17.0,trace0007.json
25000.0,-8677.783184,14496.291937,129.0,2200.298397,69.0,3.179167,0.025426,211.906595,0.065243,5292.793463,1.295299,0.076278,0.043843,1.16817,43500.0,13.39294,615.837369,205.279123,1086500.0,265.897941,255.0,15.658202,9.0,trace0008.json
25000.0,-4497.845062,6802.783302,144.0,1648.656909,54.0,2.736496,0.0,375.164762,0.163247,5474.90443,1.372323,0.0,0.0,1.372323,75000.0,32.635045,599.736496,199.912165,1094500.0,274.343984,75.0,0.0,0.0,trace0009.json
25000.0,-4892.924604,7251.184246,151.0,2683.611693,47.0,2.364841,0.0,503.03251,0.241315,5688.521862,1.468607,0.0,0.0,1.468607,100500.0,48.211988,599.364841,199.78828,1136500.0,293.410379,75.0,0.0,0.0,trace0010.json
25000.0,-4148.512043,6772.548225,143.0,2673.982029,55.0,2.004197,0.0,390.648348,0.172625,5639.359486,1.437367,0.0,0.0,1.437367,78000.0,34.467627,599.004197,199.668066,1126000.0,286.996344,150.0,0.0,0.0,trace0011.json
25000.0,-3338.622126,6653.241177,123.0,2097.353117,75.0,2.665596,0.0,360.200754,0.154098,5468.047563,1.367901,0.0,0.0,1.367901,72000.0,30.802464,599.665596,199.888532,1093000.0,273.427694,150.0,0.0,0.0,trace0012.json
25000.0,-2202.174475,4023.80889,130.0,1280.361907,68.0,1.97468,0.0,435.74463,0.200169,5594.560359,1.409902,0.0,0.0,1.409902,87000.0,39.965371,598.97468,199.658227,1117000.0,281.4986,150.0,0.0,0.0,trace0013.json
25000.0,-3899.168115,7530.559029,123.0,2056.312985,75.0,1.774572,0.0,518.559095,0.250735,5731.706325,1.493008,0.0,0.0,1.493008,103500.0,50.044569,598.774572,199.591524,1144000.0,297.991833,270.0,0.0,0.0,trace0014.json
25000.0,-6964.391029,9725.05099,152.0,2157.789713,46.0,2.881084,0.0,270.053523,0.099055,5413.572935,1.335333,0.0,0.0,1.335333,54000.0,19.806975,599.881084,199.960361,1082500.0,267.013658,105.0,0.0,0.0,trace0015.json
25000.0,-3196.476102,5645.397175,130.0,1485.284772,68.0,2.592693,0.0,285.193602,0.108271,5443.695423,1.348612,0.0,0.0,1.348612,57000.0,21.639557,599.592693,199.864231,1088000.0,269.539387,75.0,0.0,0.0,trace0016.json
25000.0,-1981.121843,3603.332544,136.0,1577.275823,62.0,2.015357,0.0,495.813666,0.236867,5744.42702,1.501586,0.0,0.0,1.501586,99000.0,47.295697,599.015357,199.671786,1147000.0,299.824414,150.0,0.0,0.0,trace0017.json
25000.0,-3822.172987,7173.129825,125.0,1915.766804,73.0,2.478589,0.0,457.897922,0.213757,5544.818549,1.414182,0.0,0.0,1.414182,91500.0,42.714243,599.478589,199.826196,1108000.0,282.590601,105.0,0.0,0.0,trace0018.json
25000.0,-5073.991364,6943.710381,158.0,2311.398752,40.0,2.320742,0.0,435.49302,0.200053,5598.838427,1.413675,0.0,0.0,1.413675,87000.0,39.965371,599.320742,199.773581,1118500.0,282.41489,75.0,0.0,0.0,trace0019.json
25000.0,-3931.898993,8732.935159,112.0,2320.613222,86.0,1.805478,0.0,458.41264,0.213997,5733.915484,1.49864,0.0,0.0,1.49864,91500.0,42.714243,598.805478,199.601826,1144500.0,299.131267,110.0,0.0,0.0,trace0020.json
25000.0,-4010.225998,6866.178702,133.0,1833.492612,65.0,2.655768,0.0,405.23249,0.181605,5513.16301,1.395428,0.0,0.0,1.395428,81000.0,36.300208,599.655768,199.885256,1102000.0,278.925438,75.0,0.0,0.0,trace0021.json
25000.0,-3507.010045,4583.17569,175.0,4681.206825,23.0,2.332741,0.007711,357.621708,0.152995,5535.686024,1.394752,0.023133,0.009934,1.356196,72000.0,30.802464,603.99018,201.33006,1114500.0,280.805453,150.0,4.65744,2.0,trace0022.json
25000.0,-3192.000838,6019.049227,126.0,1755.333842,72.0,1.930471,0.015085,222.001549,0.070593,5387.2376,1.317511,0.045256,0.019733,1.242084,45000.0,14.309231,608.103864,202.701288,1092000.0,267.061092,135.0,9.173393,4.0,trace0023.json
25000.0,-3948.936869,6065.814624,144.0,1696.070478,54.0,3.018938,0.022332,205.303835,0.060988,5276.797374,1.289594,0.066995,0.024441,1.177935,42000.0,12.476649,613.724532,204.574844,1079500.0,263.818499,90.0,13.705594,5.0,trace0024.json
25000.0,-2695.005151,4252.77423,147.0,1795.035134,51.0,2.068351,0.0,503.281469,0.241435,5646.267232,1.441802,0.0,0.0,1.441802,100500.0,48.211988,599.068351,199.68945,1127500.0,287.912635,115.0,0.0,0.0,trace0025.json
25000.0,-2522.659563,3766.63906,160.0,2715.148847,38.0,3.707884,0.00225,470.88148,0.221971,5558.394612,1.417363,0.006749,0.004983,1.406114,94500.0,44.546825,602.062328,200.687443,1115500.0,284.446899,150.0,1.354444,1.0,trace0026.json
25000.0,-2515.862295,4850.824562,125.0,1482.360765,73.0,1.644425,0.0,458.535967,0.214055,5775.54865,1.527712,0.0,0.0,1.527712,91500.0,42.714243,598.644425,199.548142,1152500.0,304.852155,45.0,0.0,0.0,trace0027.json
25000.0,-3178.535704,5419.028127,134.0,1512.495306,64.0,3.062662,0.016261,206.563584,0.061362,5323.930477,1.299819,0.048783,0.014755,1.218513,42000.0,12.476649,609.981669,203.327223,1082500.0,264.288503,105.0,9.919007,3.0,trace0028.json
25000.0,-6316.891861,9540.607607,149.0,3485.835613,49.0,2.559545,0.0,445.326911,0.197741,5739.213111,1.520677,0.0,0.0,1.520677,89000.0,39.519084,599.559545,199.853182,1147000.0,303.912148,40.0,0.0,0.0,trace0029.json
25000.0,-4952.789736,8640.016657,132.0,2421.664106,66.0,3.126606,0.02117,205.510909,0.06105,5309.031812,1.296586,0.06351,0.019572,1.190736,42000.0,12.476649,613.10614,204.368713,1085000.0,264.98165,185.0,12.979534,4.0,trace0030.json
25000.0,-3900.573596,7277.150819,124.0,1757.474725,74.0,2.504415,0.0,405.334797,0.181651,5522.061088,1.400365,0.0,0.0,1.400365,81000.0,36.300208,599.504415,199.834805,1103500.0,279.841729,180.0,0.0,0.0,trace0031.json
25000.0,-3618.035314,7885.875554,113.0,2055.681712,85.0,2.027778,0.0,495.803385,0.236862,5669.186178,1.46249,0.0,0.0,1.46249,99000.0,47.295697,599.027778,199.675926,1132000.0,292.024085,145.0,0.0,0.0,trace0032.json
25000.0,-8392.42972,12403.940231,149.0,3805.836934,49.0,5.177778,0.0,493.209831,0.235623,5617.111966,1.434357,0.0,0.0,1.434357,99000.0,47.295697,602.177778,200.725926,1127500.0,287.912635,150.0,0.0,0.0,trace0033.json
25000.0,-4936.804626,9054.542089,122.0,1673.247618,76.0,3.451087,0.037003,235.756945,0.070035,5280.474422,1.297081,0.11101,0.101039,1.112064,49000.0,14.556091,623.52352,207.841173,1097500.0,269.58682,75.0,23.072433,21.0,trace0034.json
25000.0,-5305.260685,7819.883435,143.0,1232.758466,55.0,3.219048,0.035805,236.141606,0.070149,5291.499659,1.298122,0.107414,0.086746,1.119098,49000.0,14.556091,622.507836,207.502612,1098000.0,269.363677,75.0,22.288788,18.0,trace0035.json
25000.0,-4993.539791,7815.838518,138.0,1497.747282,60.0,3.10768,0.026866,211.618737,0.065154,5273.441636,1.290168,0.080597,0.053513,1.15584,43500.0,13.39294,616.675072,205.558357,1084000.0,265.204794,75.0,16.567392,11.0,trace0036.json
25000.0,-4271.691751,6336.557416,149.0,2007.185474,49.0,2.63633,0.0,512.810823,0.238973,5700.95544,1.497561,0.0,0.0,1.497561,102500.0,47.765701,599.63633,199.878777,1139500.0,299.330694,75.0,0.0,0.0,trace0037.json
25000.0,-4188.411638,7454.016298,134.0,2648.94812,64.0,1.631146,0.0,430.983255,0.188863,5838.319676,1.557653,0.0,0.0,1.557653,86000.0,37.686503,598.631146,199.543715,1165000.0,310.819903,120.0,0.0,0.0,trace0038.json
25000.0,-6086.499642,8432.712496,153.0,1890.624061,45.0,3.662448,0.006463,297.732389,0.116474,5438.578311,1.345614,0.019389,0.014887,1.313299,60000.0,23.472138,604.569763,201.523254,1096000.0,271.172542,165.0,3.907315,3.0,trace0039.json
25000.0,-6101.08489,11024.094948,125.0,2328.726853,73.0,1.968239,0.0,518.391426,0.250654,5722.340142,1.487936,0.0,0.0,1.487936,103500.0,50.044569,598.968239,199.65608,1142500.0,297.075542,90.0,0.0,0.0,trace0040.json
25000.0,-7356.804734,10374.946566,151.0,2339.778599,47.0,5.165849,0.013247,221.220817,0.070344,5383.039877,1.321886,0.039742,0.014748,1.25565,45000.0,14.309231,610.249984,203.416661,1095000.0,268.893673,85.0,8.084135,3.0,trace0041.json
