buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-5047.115921,7197.846679,152.0,2059.646583,46.0,2.622894,0.0,465.292441,0.092399,7237.048562,1.369875,0.0,0.0,1.369875,93000.0,18.468114,599.622894,199.874298,1446500.0,273.802831,75.0,0.0,0.0,trace0000.json
25000.0,-6016.711023,11444.944158,128.0,3372.665209,74.0,3.2778,0.0,479.777863,0.101457,6946.783641,1.291054,0.0,0.0,1.291054,96000.0,20.300695,600.2778,200.0926,1390000.0,258.33045,75.0,0.0,0.0,trace0001.json
25000.0,-4852.802643,7364.40556,142.0,1515.904751,56.0,3.013877,0.0,449.989593,0.083176,5924.86297,1.199165,0.0,0.0,1.199165,90000.0,16.635532,600.013877,200.004626,1185000.0,239.838619,180.0,0.0,0.0,trace0002.json
25000.0,-14303.834541,24840.498284,135.0,6926.756584,67.0,2.369499,0.0,1051.104537,0.125118,11564.652535,1.559631,0.0,0.0,1.559631,210000.0,24.997251,599.369499,199.789833,2310500.0,311.598389,90.0,0.0,0.0,trace0003.json
25000.0,-4514.147244,8356.927817,138.0,3903.372106,63.0,1.878431,0.0,525.983211,0.129234,7589.186332,1.4605,0.0,0.0,1.4605,105000.0,25.79844,598.878431,199.626144,1515000.0,291.554081,90.0,0.0,0.0,trace0004.json
25000.0,-4252.697892,7013.607597,138.0,2097.394431,60.0,3.965309,0.002043,465.629058,0.092465,6956.898665,1.361335,0.006129,0.010014,1.35112,93000.0,18.468114,599.189409,199.729803,1389500.0,271.8991,75.0,1.2241,2.0,trace0005.json
25000.0,-5151.351279,8917.186355,143.0,3823.888985,60.0,5.448682,0.0,478.049017,0.101091,7364.942661,1.388722,0.0,0.0,1.388722,96000.0,20.300695,602.448682,200.816227,1479000.0,278.878005,75.0,0.0,0.0,trace0006.json
25000.0,-7969.045082,14317.215178,136.0,4727.29511,68.0,3.402025,0.000473,449.486026,0.083083,7404.033707,1.370912,0.001419,0.004994,1.368548,90000.0,16.635532,600.686082,200.228694,1482500.0,274.495978,135.0,0.284057,1.0,trace0007.json
25000.0,-9843.016607,17224.631059,125.0,2625.926724,74.0,3.179167,0.0,449.865665,0.083153,7725.193173,1.40572,0.0,0.0,1.40572,90000.0,16.635532,600.179167,200.059722,1545500.0,281.228023,255.0,0.0,0.0,trace0008.json
25000.0,-6388.357482,9776.061671,139.0,1592.843911,59.0,2.736496,0.0,465.204305,0.092381,7040.592038,1.309556,0.0,0.0,1.309556,93000.0,18.468114,599.736496,199.912165,1407500.0,261.796186,75.0,0.0,0.0,trace0009.json
25000.0,-5211.941643,9240.287166,140.0,3739.937296,63.0,2.364841,0.0,480.508666,0.101611,7995.964519,1.497479,0.0,0.0,1.497479,96000.0,20.300695,599.364841,199.78828,1597500.0,299.1787,75.0,0.0,0.0,trace0010.json
25000.0,-4906.204907,8222.951297,142.0,3076.472843,59.0,2.004197,0.0,465.77303,0.092494,7630.163568,1.426834,0.0,0.0,1.426834,93000.0,18.468114,599.004197,199.668066,1523500.0,284.893186,75.0,0.0,0.0,trace0011.json
25000.0,-5529.526615,9838.44927,123.0,1537.10654,75.0,2.665596,0.0,480.267673,0.087927,6130.917007,1.198745,0.0,0.0,1.198745,96000.0,17.57554,599.665596,199.888532,1225500.0,239.615476,75.0,0.0,0.0,trace0012.json
25000.0,-4028.348165,5710.448569,153.0,1566.464048,46.0,1.97468,0.0,450.770306,0.08332,5624.611713,1.202245,0.0,0.0,1.202245,90000.0,16.635532,598.97468,199.658227,1123000.0,240.038046,150.0,0.0,0.0,trace0013.json
25000.0,-4446.929955,8879.27135,124.0,2599.356366,78.0,1.774572,0.0,480.982349,0.101711,7420.154779,1.432852,0.0,0.0,1.432852,96000.0,20.300695,598.774572,199.591524,1481000.0,285.985187,150.0,0.0,0.0,trace0014.json
25000.0,-8105.044105,12971.589529,140.0,2883.929433,62.0,2.881084,0.0,465.092178,0.092359,7221.431241,1.330039,0.0,0.0,1.330039,93000.0,18.468114,599.881084,199.960361,1444000.0,265.955069,105.0,0.0,0.0,trace0015.json
25000.0,-4853.671321,8084.392757,134.0,1705.672201,66.0,2.592693,0.0,450.305688,0.083234,6624.497004,1.268134,0.0,0.0,1.268134,90000.0,16.635532,599.592693,199.864231,1324000.0,253.454703,75.0,0.0,0.0,trace0016.json
25000.0,-3100.900203,4576.241758,152.0,1774.141458,46.0,2.015357,0.0,465.764353,0.092492,7106.662548,1.413802,0.0,0.0,1.413802,93000.0,18.468114,599.015357,199.671786,1419000.0,282.296308,150.0,0.0,0.0,trace0017.json
25000.0,-5137.299432,8469.662329,134.0,1839.835384,64.0,2.478589,0.0,450.391398,0.08325,6710.831835,1.298359,0.0,0.0,1.298359,90000.0,16.635532,599.478589,199.826196,1341000.0,259.446167,105.0,0.0,0.0,trace0018.json
25000.0,-5109.490167,8993.952925,148.0,5156.58998,56.0,2.320742,0.0,480.544022,0.101619,7676.190191,1.434018,0.0,0.0,1.434018,96000.0,20.300695,599.320742,199.773581,1533500.0,286.478907,75.0,0.0,0.0,trace0019.json
25000.0,-4898.427951,10065.793505,120.0,2756.928424,81.0,1.805478,0.0,546.087189,0.09947,6755.950223,1.352789,0.0,0.0,1.352789,109000.0,19.854408,598.805478,199.601826,1348500.0,270.019086,55.0,0.0,0.0,trace0020.json
25000.0,-6022.46909,9872.289576,133.0,1735.502494,66.0,2.655768,0.0,450.258322,0.083225,7179.118802,1.334006,0.0,0.0,1.334006,90000.0,16.635532,599.655768,199.885256,1435000.0,266.648216,75.0,0.0,0.0,trace0021.json
25000.0,-4435.749653,6977.912379,150.0,3041.199541,51.0,2.332741,0.0,465.517702,0.092443,7147.949228,1.365952,0.0,0.0,1.365952,93000.0,18.468114,599.332741,199.77758,1428000.0,272.88654,75.0,0.0,0.0,trace0022.json
25000.0,-4820.662856,8863.414041,123.0,1637.238389,77.0,1.930471,0.0,450.803579,0.083326,6464.022436,1.221048,0.0,0.0,1.221048,90000.0,16.635532,598.930471,199.64349,1290500.0,243.774359,75.0,0.0,0.0,trace0023.json
25000.0,-4784.504671,7789.408811,139.0,2176.856589,60.0,3.018938,0.003151,448.568047,0.082913,6681.171859,1.280633,0.009452,0.009968,1.264879,90000.0,16.635532,601.915365,200.638455,1340500.0,256.944155,75.0,1.896427,2.0,trace0024.json
25000.0,-3339.61507,5930.909092,138.0,2247.862663,64.0,2.068351,0.0,495.769806,0.110838,6545.16299,1.328253,0.0,0.0,1.328253,99000.0,22.133277,599.068351,199.68945,1307000.0,265.238205,135.0,0.0,0.0,trace0025.json
25000.0,-3977.839033,6531.889151,138.0,1800.175987,61.0,3.707884,0.0,494.416684,0.110536,6340.020007,1.256628,0.0,0.0,1.256628,99000.0,22.133277,600.707884,200.235961,1269500.0,251.622121,75.0,0.0,0.0,trace0026.json
25000.0,-2475.314457,5248.480552,138.0,3323.123743,66.0,1.644425,0.0,466.05295,0.09255,7203.775431,1.444465,0.0,0.0,1.444465,93000.0,18.468114,598.644425,199.548142,1437500.0,288.240339,30.0,0.0,0.0,trace0027.json
25000.0,-4498.62164,8159.759729,131.0,2452.234733,69.0,3.062662,0.0,464.951442,0.092331,6484.322798,1.247583,0.0,0.0,1.247583,93000.0,18.468114,600.062662,200.020887,1297000.0,249.54268,75.0,0.0,0.0,trace0028.json
25000.0,-7167.520845,11993.302466,133.0,2557.1603,66.0,2.559545,0.0,465.341604,0.092408,8218.53316,1.546428,0.0,0.0,1.546428,93000.0,18.468114,599.559545,199.853182,1642500.0,309.058471,30.0,0.0,0.0,trace0029.json
25000.0,-5645.097323,10966.712783,125.0,3107.559685,76.0,3.126606,0.0,449.905066,0.08316,6796.065963,1.27059,0.0,0.0,1.27059,90000.0,16.635532,600.126606,200.042202,1359500.0,254.171567,100.0,0.0,0.0,trace0030.json
25000.0,-5500.674521,8708.57755,140.0,2111.298768,59.0,2.504415,0.0,450.371996,0.083246,7210.956075,1.351686,0.0,0.0,1.351686,90000.0,16.635532,599.504415,199.834805,1441000.0,270.113952,150.0,0.0,0.0,trace0031.json
25000.0,-4886.350138,9175.763207,121.0,1854.156114,77.0,2.027778,0.0,450.73035,0.083313,7221.701827,1.371117,0.0,0.0,1.371117,90000.0,16.635532,599.027778,199.675926,1442000.0,273.779115,85.0,0.0,0.0,trace0032.json
25000.0,-7868.469545,12905.664585,151.0,6758.769899,52.0,5.177778,0.0,1046.202672,0.124534,8940.05093,1.497854,0.0,0.0,1.497854,210000.0,24.997251,602.177778,200.725926,1794500.0,300.658154,170.0,0.0,0.0,trace0033.json
25000.0,-5546.046806,11248.058183,117.0,2302.604148,85.0,3.451087,0.001976,448.77335,0.082951,7337.444269,1.356144,0.005928,0.019945,1.346264,90000.0,16.635532,601.640004,200.546668,1471500.0,271.97025,75.0,1.188917,4.0,trace0034.json
25000.0,-6161.120926,10072.259257,129.0,1151.007259,69.0,3.219048,0.003973,462.983449,0.09194,7151.351873,1.360855,0.01192,0.034848,1.34099,93000.0,18.468114,602.613335,200.871112,1436500.0,273.356544,75.0,2.394287,7.0,trace0035.json
25000.0,-5441.925073,9924.932145,128.0,2418.690068,73.0,3.10768,0.0,449.919255,0.083163,7001.243513,1.310977,0.0,0.0,1.310977,90000.0,16.635532,600.10768,200.035893,1400500.0,262.242473,75.0,0.0,0.0,trace0036.json
25000.0,-5184.28552,8394.014497,137.0,1908.180124,62.0,2.63633,0.0,450.272918,0.083228,7824.742702,1.460008,0.0,0.0,1.460008,90000.0,16.635532,599.63633,199.878777,1564000.0,291.824658,75.0,0.0,0.0,trace0037.json
25000.0,-4209.995149,7983.937373,134.0,3452.251186,66.0,1.631146,0.0,481.097587,0.101736,7552.22983,1.487656,0.0,0.0,1.487656,96000.0,20.300695,598.631146,199.543715,1507000.0,296.852399,105.0,0.0,0.0,trace0038.json
25000.0,-6229.380149,10632.735118,145.0,4779.007274,58.0,3.662448,0.0,494.454083,0.110544,7237.009767,1.353538,0.0,0.0,1.353538,99000.0,22.133277,600.662448,200.220816,1449000.0,271.006526,165.0,0.0,0.0,trace0039.json
25000.0,-5114.121793,12153.656747,120.0,4942.356714,84.0,1.968239,0.0,480.82683,0.101678,8053.849407,1.506413,0.0,0.0,1.506413,96000.0,20.300695,598.968239,199.65608,1608000.0,300.764422,95.0,0.0,0.0,trace0040.json
25000.0,-8070.726632,13535.138634,146.0,5451.377645,59.0,5.165849,0.0,463.327504,0.092008,7393.312003,1.360637,0.0,0.0,1.360637,93000.0,18.468114,602.165849,200.72195,1484000.0,273.109684,95.0,0.0,0.0,trace0041.json
25000.0,-7461.457709,12178.101456,141.0,3810.521416,59.0,3.17355,0.0,449.869875,0.083154,7275.395589,1.32258,0.0,0.0,1.32258,90000.0,16.635532,600.17355,200.05785,1455500.0,264.592491,120.0,0.0,0.0,trace0042.json
