buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-4901.511672,6985.974355,153.0,2185.661449,45.0,2.622894,0.015072,443.496556,0.081976,7083.625549,1.335566,0.045215,0.004928,1.260209,90000.0,16.635532,608.798414,202.932805,1437500.0,271.030242,75.0,9.17552,1.0,trace0000.json
25000.0,-6810.800584,11271.111676,132.0,2109.8216,66.0,3.2778,0.0,464.784805,0.092298,6871.81835,1.277198,0.0,0.0,1.277198,93000.0,18.468114,600.2778,200.0926,1375000.0,255.557861,75.0,0.0,0.0,trace0001.json
25000.0,-6021.681312,7828.545848,163.0,2393.144954,35.0,3.013877,0.073161,435.604401,0.084549,5954.804841,1.224672,0.219482,0.013902,0.858868,94000.0,18.24497,647.37638,215.792127,1285000.0,264.274481,190.0,47.362503,3.0,trace0002.json
25000.0,-20593.153863,27641.055912,157.0,6395.153983,41.0,2.369499,0.135848,947.242298,0.10426,12117.348389,1.697758,0.407543,0.012976,1.018521,219000.0,24.104677,693.592338,231.197446,2801500.0,392.517419,70.0,94.222839,3.0,trace0003.json
25000.0,-5475.589075,8398.092242,143.0,2122.919161,55.0,1.878431,0.011224,445.78227,0.082398,7347.977743,1.387199,0.033673,0.009906,1.331077,90000.0,16.635532,605.676848,201.892283,1483500.0,280.064872,90.0,6.798418,2.0,trace0004.json
25000.0,-4180.885241,6769.839348,142.0,2383.962674,56.0,9.965309,0.0,466.582251,0.092655,7124.159106,1.366598,0.0,0.0,1.366598,93000.0,18.468114,597.965309,199.32177,1420000.0,272.39282,75.0,0.0,0.0,trace0005.json
25000.0,-7019.83671,9425.21166,156.0,1914.413102,42.0,5.448682,0.042726,436.17291,0.083668,6697.518459,1.250201,0.128177,0.014301,1.036573,91500.0,17.551823,629.337571,209.77919,1405000.0,262.266189,100.0,26.888889,3.0,trace0006.json
25000.0,-9200.733706,13728.12361,142.0,2279.433553,56.0,3.402025,0.000473,449.486026,0.083083,7436.496587,1.368802,0.001419,0.004994,1.366437,90000.0,16.635532,600.686082,200.228694,1489000.0,274.073408,135.0,0.284057,1.0,trace0007.json
25000.0,-12378.316274,18478.545522,142.0,3090.122175,56.0,3.179167,0.089252,441.580758,0.085198,7388.511031,1.386203,0.267757,0.027314,0.939941,97000.0,18.714974,658.996106,219.665369,1623000.0,304.500734,280.0,58.81694,6.0,trace0008.json
25000.0,-6244.910259,9336.477481,142.0,1594.420912,56.0,2.736496,0.016591,442.728587,0.081834,6982.813652,1.292454,0.049772,0.004919,1.2095,90000.0,16.635532,609.854453,203.284818,1419500.0,262.736193,75.0,10.117957,1.0,trace0009.json
