buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-1562.053275,7299.504561,144.0,7721.013974,89.0,2.622894,0.0,495.311308,0.110736,7149.493533,1.36617,0.0,0.0,1.36617,99000.0,22.133277,599.622894,199.874298,1429000.0,273.062251,75.0,0.0,0.0,trace0000.json
25000.0,-4315.379157,11263.183034,129.0,5119.00716,95.0,3.2778,0.0,639.703817,0.115313,6784.358844,1.26569,0.0,0.0,1.26569,128000.0,23.073284,600.2778,200.0926,1357500.0,253.255276,75.0,0.0,0.0,trace0001.json
25000.0,970.249609,6936.922287,144.0,10958.256215,114.0,3.013877,0.0,449.989593,0.083176,5924.86297,1.199165,0.0,0.0,1.199165,90000.0,16.635532,600.013877,200.004626,1185000.0,239.838619,165.0,0.0,0.0,trace0002.json
25000.0,-4906.446582,24289.104309,134.0,13778.993241,139.0,2.369499,0.0,1036.088758,0.115945,11612.202502,1.578882,0.0,0.0,1.578882,207000.0,23.16467,599.369499,199.789833,2320000.0,315.444517,90.0,0.0,0.0,trace0003.json
25000.0,-566.776238,8767.993382,134.0,10102.768395,103.0,1.878431,0.0,465.870844,0.092514,7376.288366,1.422306,0.0,0.0,1.422306,93000.0,18.468114,598.878431,199.626144,1472500.0,283.929462,90.0,0.0,0.0,trace0004.json
25000.0,-2100.686145,7119.470693,131.0,3986.91363,108.0,3.965309,0.002043,495.669642,0.110816,7074.557621,1.372863,0.006129,0.010014,1.362649,99000.0,22.133277,599.189409,199.729803,1413000.0,274.201685,75.0,1.2241,2.0,trace0005.json
25000.0,-318.134414,8947.264146,142.0,12185.298463,98.0,5.448682,0.0,478.049017,0.101091,7158.286055,1.35631,0.0,0.0,1.35631,96000.0,20.300695,602.448682,200.816227,1437500.0,272.369104,75.0,0.0,0.0,trace0006.json
25000.0,-5270.794054,13535.930348,138.0,8986.566053,80.0,3.402025,0.000473,449.486026,0.083083,7081.902055,1.29499,0.001419,0.004994,1.292626,90000.0,16.635532,600.686082,200.228694,1418000.0,259.294173,135.0,0.284057,1.0,trace0007.json
25000.0,-1313.446098,18055.863651,116.0,13179.989993,134.0,3.179167,0.0,449.865665,0.083153,7487.764072,1.360679,0.0,0.0,1.360679,90000.0,16.635532,600.179167,200.059722,1498000.0,272.21711,255.0,0.0,0.0,trace0008.json
25000.0,618.089169,9496.6229,131.0,10150.659537,139.0,2.736496,0.0,465.204305,0.092381,7185.655746,1.33841,0.0,0.0,1.33841,93000.0,18.468114,599.736496,199.912165,1436500.0,267.564507,75.0,0.0,0.0,trace0009.json
25000.0,-364.119573,9487.775191,135.0,11366.294793,105.0,2.364841,0.0,495.524562,0.110784,7818.276418,1.463902,0.0,0.0,1.463902,99000.0,22.133277,599.364841,199.78828,1562000.0,292.470372,75.0,0.0,0.0,trace0010.json
25000.0,-568.357412,8034.457455,149.0,11656.355845,91.0,2.004197,0.0,495.822903,0.11085,7402.285365,1.405649,0.0,0.0,1.405649,99000.0,22.133277,599.004197,199.668066,1478000.0,280.663153,75.0,0.0,0.0,trace0011.json
25000.0,-4718.275431,9329.789068,126.0,2117.615373,85.0,2.665596,0.0,465.259308,0.092392,5893.284565,1.18364,0.0,0.0,1.18364,93000.0,18.468114,599.665596,199.888532,1178000.0,236.596027,118.331192,0.0,0.0,trace0012.json
25000.0,-1519.623434,6114.780397,147.0,6334.889049,86.0,1.97468,0.0,495.847337,0.110856,5316.585336,1.160466,0.0,0.0,1.160466,99000.0,22.133277,598.97468,199.658227,1061500.0,231.696564,150.0,0.0,0.0,trace0013.json
25000.0,-654.229035,8798.32308,125.0,8275.698646,114.0,1.774572,0.0,496.013047,0.110893,7392.598499,1.43956,0.0,0.0,1.43956,99000.0,22.133277,598.774572,199.591524,1475500.0,287.324049,150.0,0.0,0.0,trace0014.json
