buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-820.524192,1712.500743,121.0,581.153245,77.0,2.789875,0.003836,181.948293,0.128364,3828.308279,2.12146,0.011509,0.004983,2.102279,36517.0,25.762713,602.09963,200.699877,768341.0,425.7767,84.67938,2.309755,1.0,trace0000.json
25000.0,-1485.551755,2623.196833,135.0,952.259126,63.0,2.984415,0.057626,194.548669,0.121311,3800.050809,2.104481,0.172879,0.009424,1.816349,41288.0,25.745079,636.673592,212.224531,806464.0,446.62252,30.0,36.689178,2.0,trace0001.json
25000.0,-1047.65395,2007.916112,132.0,872.870375,66.0,22.775168,0.02001,201.628013,0.140939,3837.408504,2.218638,0.06003,0.00982,2.118587,41065.0,28.704668,611.001408,203.667136,781554.0,451.863708,65.014356,12.22624,2.0,trace0002.json
25000.0,-764.12493,1848.927639,98.0,298.981725,100.0,3.097639,0.017783,184.76425,0.146165,3749.514197,2.054025,0.053349,0.00491,1.96511,37628.0,29.767143,610.962349,203.654116,763604.0,418.310619,67.022336,10.86471,1.0,trace0003.json
25000.0,-899.38186,1476.069683,142.0,562.93369,56.0,2.842803,0.064308,194.581269,0.123899,3783.768026,2.092612,0.192925,0.014039,1.77107,41580.0,26.475875,641.068898,213.689633,808552.0,447.169385,102.283025,41.226096,3.0,trace0004.json
25000.0,-613.814237,1213.03371,136.0,700.602671,62.0,19.057892,0.0,286.381974,0.191239,4029.016306,2.44271,0.0,0.0,2.44271,57091.0,38.124069,598.057892,199.352631,803195.0,486.960706,69.115785,0.0,0.0,trace0005.json
25000.0,-1965.573534,3142.543496,141.0,945.878477,57.0,2.842803,0.11136,182.60121,0.111185,3918.655043,2.165236,0.334079,0.013333,1.608437,41086.0,25.017001,675.011955,225.003985,881713.0,487.186723,70.708677,75.169152,3.0,trace0006.json
25000.0,-1067.80899,2274.244577,114.0,569.496449,84.0,11.60414,0.0,198.606034,0.17092,3855.878981,2.173181,0.0,0.0,2.173181,39695.0,34.161433,599.60414,199.868047,770667.0,434.34942,85.41656,0.0,0.0,trace0007.json
25000.0,-982.909405,1533.470677,155.0,1001.671924,43.0,19.463583,0.008325,213.682842,0.180899,3906.506117,2.263581,0.024976,0.004971,2.221954,42985.0,36.390167,603.487856,201.162619,785843.0,455.347972,81.92715,5.024273,1.0,trace0008.json
25000.0,-1483.199374,2305.00538,149.0,1015.761747,49.0,29.252645,0.020998,215.619589,0.178248,3881.86817,2.262962,0.062995,0.009802,2.15797,43994.0,36.368961,612.105794,204.035265,792038.0,461.72398,81.339752,12.853149,2.0,trace0009.json
25000.0,-681.07289,1268.54776,134.0,548.952619,64.0,19.224293,0.001919,224.153774,0.176613,3990.201448,2.383388,0.005756,0.005005,2.373795,44784.0,35.285731,599.37425,199.791417,797208.0,476.18041,15.0,1.149957,1.0,trace0010.json
25000.0,-803.805796,1691.198661,125.0,715.702535,73.0,19.056678,0.0,243.463547,0.189749,4039.844529,2.425047,0.0,0.0,2.425047,48535.0,37.826927,598.056678,199.352226,805352.0,483.438596,66.170035,0.0,0.0,trace0011.json
25000.0,-595.364378,1437.610067,112.0,501.51373,86.0,19.104896,8.8e-05,239.460253,0.18607,4018.578889,2.392608,0.000265,0.005015,2.392166,47745.0,37.099769,598.157724,199.385908,801248.0,477.052223,66.367515,0.052828,1.0,trace0012.json
25000.0,-839.653405,1857.10211,114.0,541.169838,84.0,29.448384,0.0,198.827794,0.169163,3854.778932,2.188342,0.0,0.0,2.188342,39729.0,33.801472,599.448384,199.816128,770247.0,437.265929,30.0,0.0,0.0,trace0013.json
25000.0,-972.736091,1639.47225,135.0,455.98425,63.0,3.014459,0.095454,197.864657,0.127902,3815.979337,2.115017,0.286362,0.009045,1.637747,43750.0,28.280467,663.332208,221.110736,843754.0,467.652987,70.036194,63.317749,2.0,trace0014.json
25000.0,-1021.160282,2050.667059,126.0,780.476578,72.0,19.475435,0.021485,204.849224,0.157045,3879.455719,2.279067,0.064454,0.00981,2.171644,41763.0,32.017041,611.615693,203.871898,790912.0,464.63766,60.0,13.140258,2.0,trace0015.json
25000.0,-912.53155,1651.14738,146.0,1161.274434,52.0,23.052936,0.000343,237.318324,0.182072,4021.225203,2.405663,0.001029,0.005006,2.403948,47405.0,36.369296,599.258405,199.752802,803251.0,480.537883,87.417212,0.205469,1.0,trace0016.json
25000.0,-943.676386,1751.139589,138.0,913.488981,60.0,19.057892,0.0,226.984715,0.169611,4035.396959,2.41955,0.0,0.0,2.41955,45250.0,33.81242,598.057892,199.352631,804467.0,482.343658,66.173677,0.0,0.0,trace0017.json
25000.0,-1234.445876,2415.002904,133.0,1181.155428,65.0,19.067707,0.0,240.800495,0.182392,4049.320791,2.437829,0.0,0.0,2.437829,48005.0,36.360892,598.067707,199.355902,807256.0,485.995618,66.203121,0.0,0.0,trace0018.json
25000.0,-1183.327507,2017.898785,144.0,1042.195902,54.0,21.941947,0.003444,223.933354,0.164558,4007.398121,2.391442,0.010332,0.00995,2.374223,45012.0,33.077182,603.018699,201.006233,805512.0,480.694777,80.933993,2.076752,2.0,trace0019.json
25000.0,-683.584658,1195.522844,140.0,552.128202,58.0,2.816088,0.003741,184.588664,0.133847,3813.254501,2.127054,0.011223,0.004983,2.10835,37045.0,26.861625,602.068391,200.689464,765280.0,426.877416,101.02126,2.252302,1.0,trace0020.json
25000.0,-1504.87005,2541.797984,136.0,769.681547,62.0,3.185571,0.06186,192.240561,0.117298,3791.058335,2.076329,0.185579,0.014068,1.767031,40996.0,25.014282,639.760928,213.253643,808457.0,442.784649,85.842919,39.575357,3.0,trace0021.json
25000.0,-1261.685988,2022.305295,147.0,930.68731,51.0,18.946186,0.0,229.044023,0.169628,4066.585015,2.46211,0.0,0.0,2.46211,45652.0,33.80943,597.946186,199.315395,810533.0,490.736431,65.838558,0.0,0.0,trace0022.json
25000.0,-547.345063,1184.503115,123.0,497.594143,75.0,19.125187,0.0,261.436909,0.191447,4016.756111,2.425896,0.0,0.0,2.425896,52124.0,38.169745,598.125187,199.375062,800841.0,483.663205,15.0,0.0,0.0,trace0023.json
25000.0,-926.787837,1651.276425,134.0,590.110144,64.0,3.442239,0.030379,203.930732,0.11401,3689.02677,2.024065,0.091136,0.014534,1.872171,42095.0,23.533731,619.254384,206.418128,761482.0,417.80371,119.771531,18.812145,3.0,trace0024.json
25000.0,-1416.749309,2522.03013,131.0,744.322147,67.0,2.755679,0.077797,194.599521,0.132206,3833.535832,2.111973,0.233391,0.013839,1.722988,42186.0,28.660109,650.351036,216.783679,831048.0,457.841367,73.741391,50.595357,3.0,trace0025.json
25000.0,-666.788385,1535.678994,116.0,562.373941,82.0,19.038805,0.0,239.236984,0.182405,4042.814582,2.430628,0.0,0.0,2.430628,47691.0,36.361837,598.038805,199.346268,805920.0,484.536539,66.116414,0.0,0.0,trace0026.json
25000.0,-1271.302926,2217.648846,138.0,905.292691,60.0,19.566876,0.038626,222.247819,0.169101,3842.808145,2.228033,0.115877,0.014455,2.034905,46125.0,35.094936,622.615782,207.538594,797531.0,462.402767,68.226556,24.048906,3.0,trace0027.json
25000.0,-1242.634351,2565.351529,119.0,749.813043,79.0,19.146252,8.1e-05,239.209677,0.191581,4013.800761,2.376847,0.000244,0.005015,2.376441,47698.0,38.200852,598.194864,199.398288,800345.0,473.939231,66.535979,0.048612,1.0,trace0028.json
25000.0,-999.178648,1876.14671,134.0,836.973231,64.0,19.782147,0.040089,228.153895,0.18016,3818.225652,2.19402,0.120268,0.014428,1.993573,47440.0,37.460739,623.789482,207.929827,793923.0,456.202234,67.694355,25.007334,3.0,trace0029.json
25000.0,-525.397086,889.519105,148.0,552.404087,50.0,16.331183,0.016322,234.452578,0.193863,3869.019937,2.271964,0.048967,0.009864,2.190352,47536.0,39.30643,608.259466,202.753155,784456.0,460.647947,15.0,9.928282,2.0,trace0030.json
25000.0,-979.927458,1765.872101,133.0,628.236195,65.0,19.327316,0.01262,210.890029,0.163876,3933.407462,2.325637,0.037859,0.009901,2.262538,42598.0,33.101563,605.974597,201.991532,794515.0,469.758989,66.041901,7.647281,2.0,trace0031.json
25000.0,-697.895379,1405.857999,130.0,655.562572,68.0,19.04351,0.0,247.702713,0.197103,4037.535661,2.423255,0.0,0.0,2.423255,49379.0,39.292016,598.04351,199.347837,804874.0,483.070563,45.0,0.0,0.0,trace0032.json
25000.0,-748.086505,1738.74643,107.0,416.755384,91.0,19.254485,0.004025,199.29668,0.143437,3955.158075,2.322462,0.012076,0.004994,2.302336,39904.0,28.71962,600.672326,200.224109,791918.0,465.012956,65.599136,2.417841,1.0,trace0033.json
25000.0,-1721.317186,2512.999073,155.0,1132.419845,43.0,32.516789,0.091767,192.037002,0.126983,3901.354365,2.163252,0.275302,0.013634,1.704416,42254.0,27.940185,660.091537,220.030512,858417.0,475.981348,82.941887,60.574748,3.0,trace0034.json
25000.0,-874.994112,1743.966207,119.0,433.963854,79.0,18.988699,0.0,234.014456,0.17694,4036.1348,2.42167,0.0,0.0,2.42167,46646.0,35.26943,597.988699,199.329566,804521.0,482.710402,65.966098,0.0,0.0,trace0035.json
25000.0,-785.723711,1529.511949,128.0,574.346209,70.0,19.04351,0.0,223.493772,0.160419,4060.876772,2.456255,0.0,0.0,2.456255,44553.0,31.979091,598.04351,199.347837,809527.0,489.649125,66.130531,0.0,0.0,trace0036.json
25000.0,-1267.47768,2977.795033,109.0,827.180652,89.0,2.764149,0.010322,188.850409,0.122091,3804.106333,2.104119,0.030965,0.009901,2.05251,38149.0,24.663147,606.019338,202.006446,768454.0,425.045517,30.0,6.255189,2.0,trace0037.json
25000.0,-1795.162731,2591.531601,151.0,763.384065,47.0,11.650148,0.09223,186.592006,0.113615,3892.899819,2.153429,0.27669,0.013624,1.692279,41086.0,25.017001,660.574923,220.191641,857184.0,474.16705,84.688816,60.924775,3.0,trace0038.json
25000.0,-1366.477696,1894.68047,162.0,1010.434788,36.0,19.646349,0.042041,217.545101,0.172668,3822.665306,2.155683,0.126124,0.014402,1.945477,45316.0,35.967881,624.918691,208.30623,796285.0,449.042254,74.512954,26.272343,3.0,trace0039.json
25000.0,-1153.941877,1974.763178,133.0,525.584785,65.0,2.747262,0.09653,184.765129,0.109768,3846.557442,2.116499,0.289591,0.013558,1.633848,40884.0,24.288922,663.826561,221.27552,851149.0,468.329323,85.008564,64.0793,3.0,trace0040.json
