buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-1830.324702,2790.937342,142.0,605.514492,56.0,2.789875,0.003836,173.502847,0.10113,2741.63098,1.689087,0.011509,0.004983,1.669906,34822.0,20.296691,602.09963,200.699877,550245.0,338.999612,95.0,2.309755,1.0,trace0000.json
25000.0,-2510.761201,3559.164184,153.0,1053.808941,45.0,2.984415,0.057626,168.769368,0.100808,2673.677721,1.661574,0.172879,0.009424,1.373443,35817.0,21.393863,636.673592,212.224531,567420.0,352.626826,30.0,36.689178,2.0,trace0001.json
25000.0,-1863.146415,2919.744262,142.0,816.083841,56.0,22.775168,0.02001,182.184523,0.104989,2869.319082,1.895269,0.06003,0.00982,1.795218,37105.0,21.382718,611.001408,203.667136,584386.0,386.003992,150.0,12.22624,2.0,trace0002.json
25000.0,-1766.246363,3220.274882,117.0,334.017054,81.0,3.097639,0.017783,171.977864,0.103238,2587.843594,1.611401,0.053349,0.00491,1.522486,35024.0,21.024769,610.962349,203.654116,527025.0,328.16843,75.0,10.86471,1.0,trace0003.json
25000.0,-1835.758977,2452.945512,159.0,680.46305,39.0,2.842803,0.064308,167.612249,0.100117,2412.175983,1.572217,0.192925,0.014039,1.250675,35817.0,21.393863,641.068898,213.689633,515457.0,335.96651,115.0,41.226096,3.0,trace0004.json
25000.0,-1089.131432,1912.243518,132.0,557.092738,66.0,19.057892,0.0,175.959554,0.103657,3156.321527,2.154824,0.0,0.0,2.154824,35078.0,20.664322,598.057892,199.352631,629221.0,429.569757,165.0,0.0,0.0,trace0005.json
25000.0,-3507.181735,4848.700427,153.0,1053.98182,45.0,2.842803,0.11136,179.507932,0.101465,2798.203775,1.749689,0.334079,0.013333,1.19289,40390.0,22.830048,675.011955,225.003985,629607.0,393.686903,80.0,75.169152,3.0,trace0006.json
25000.0,-2156.410607,3786.716863,123.0,517.291653,75.0,11.60414,0.0,174.169912,0.099743,2846.337919,1.812403,0.0,0.0,1.812403,34811.0,19.93537,599.60414,199.868047,568892.0,362.241429,92.60414,0.0,0.0,trace0007.json
25000.0,-1820.606128,2421.700953,162.0,884.320584,36.0,19.463583,0.008325,174.778993,0.104537,2980.509024,1.94481,0.024976,0.004971,1.903183,35159.0,21.028846,603.487856,201.162619,599567.0,391.223004,166.487856,5.024273,1.0,trace0008.json
25000.0,-2358.274553,3209.921325,160.0,1227.606592,38.0,50.252645,0.020998,185.389521,0.133499,3084.986317,2.002732,0.062995,0.009802,1.897741,37826.0,27.238579,612.105794,204.035265,629446.0,408.627971,100.0,12.853149,2.0,trace0009.json
