buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-1831.310809,2808.727419,142.0,603.656887,57.0,2.789875,0.003962,172.474539,0.09749,2612.630572,1.624944,0.011887,0.009964,1.605132,34620.0,19.568613,602.175837,200.725279,524421.0,326.16724,95.0,2.385962,2.0,trace0000.json
25000.0,-2187.140369,3370.954383,143.0,835.813275,56.0,2.984415,0.004202,172.377145,0.097434,2642.414167,1.630118,0.012605,0.009958,1.609109,34620.0,19.568613,602.51607,200.83869,530699.0,327.390774,30.0,2.531656,2.0,trace0001.json
25000.0,-1710.328902,2900.86699,141.0,1087.435606,60.0,4.775168,0.0,171.655415,0.090754,3087.638062,2.08628,0.0,0.0,2.08628,34261.0,18.113815,598.775168,199.591723,616267.0,416.404195,150.0,0.0,0.0,trace0002.json
25000.0,-1568.37848,3161.316108,114.0,518.919101,87.0,3.097639,0.009508,172.42656,0.100502,2644.421897,1.652027,0.028523,0.034662,1.604489,34822.0,20.296691,605.857939,201.952646,534048.0,333.631235,75.0,5.7603,7.0,trace0003.json
25000.0,-1455.516229,2123.169501,152.0,703.702863,47.0,2.842803,0.024536,169.882579,0.099019,2444.324529,1.56705,0.073607,0.014636,1.444371,34822.0,20.296691,614.930621,204.976874,501030.0,321.209021,95.0,15.087818,3.0,trace0004.json
25000.0,-1094.20603,1803.415094,140.0,617.677917,58.0,4.057892,0.0,162.174935,0.070679,3146.243908,2.218272,0.0,0.0,2.218272,32330.0,14.090065,598.057892,199.352631,627212.0,442.218458,165.0,0.0,0.0,trace0005.json
25000.0,-2401.497659,4269.820495,128.0,919.965162,72.0,2.842803,0.021087,171.472108,0.102934,2676.461048,1.641791,0.063262,0.029375,1.536354,35024.0,21.024769,612.764382,204.254794,546680.0,335.343694,80.0,12.921579,6.0,trace0006.json
25000.0,-2064.766569,3698.805511,124.0,601.296967,76.0,5.60414,0.009282,173.108468,0.102412,2797.880554,1.763246,0.027845,0.009914,1.716837,34923.0,20.66073,605.221691,201.740564,564446.0,355.718334,116.60414,5.617551,2.0,trace0007.json
25000.0,-1840.428778,2338.148039,169.0,1060.073122,29.0,4.463583,0.009195,173.175386,0.100815,2933.124264,1.948737,0.027586,0.009933,1.90276,34867.0,20.29805,604.01771,201.339237,590553.0,392.357185,160.487856,5.554127,2.0,trace0008.json
25000.0,-2260.16526,3529.97976,145.0,1149.521825,54.0,5.252645,0.001392,172.894735,0.096013,3211.250736,2.158697,0.004175,0.004999,2.151739,34584.0,19.205448,600.087679,200.029226,642344.0,431.802449,100.0,0.835034,1.0,trace0009.json
25000.0,-1294.210391,1988.243139,143.0,510.274751,55.0,4.224293,0.003686,174.992394,0.096002,3331.445675,2.242927,0.011058,0.009993,2.224497,35024.0,19.214381,600.437526,200.145842,666775.0,448.912516,36.598543,2.213233,2.0,trace0010.json
