value,cdf
1.160065,0
1.160065,0.01
1.42039,0.01
1.42039,0.02
1.442476,0.02
1.442476,0.03
1.444371,0.03
1.444371,0.04
1.454059,0.04
1.454059,0.05
1.465093,0.05
1.465093,0.060000000000000005
1.47972,0.060000000000000005
1.47972,0.07
1.505786,0.07
1.505786,0.08
1.516539,0.08
1.516539,0.09
1.536354,0.09
1.536354,0.09999999999999999
1.542152,0.09999999999999999
1.542152,0.10999999999999999
1.551524,0.10999999999999999
1.551524,0.11999999999999998
1.560188,0.11999999999999998
1.560188,0.12999999999999998
1.569127,0.12999999999999998
1.569127,0.13999999999999999
1.570206,0.13999999999999999
1.570206,0.15
1.5858,0.15
1.5858,0.16
1.59268,0.16
1.59268,0.17
1.598552,0.17
1.598552,0.18000000000000002
1.59885,0.18000000000000002
1.59885,0.19000000000000003
1.602759,0.19000000000000003
1.602759,0.20000000000000004
1.602772,0.20000000000000004
1.602772,0.21000000000000005
1.604489,0.21000000000000005
1.604489,0.22000000000000006
1.605132,0.22000000000000006
1.605132,0.23000000000000007
1.60618,0.23000000000000007
1.60618,0.24000000000000007
1.607617,0.24000000000000007
1.607617,0.25000000000000006
1.609109,0.25000000000000006
1.609109,0.26000000000000006
1.611941,0.26000000000000006
1.611941,0.2700000000000001
1.632379,0.2700000000000001
1.632379,0.2800000000000001
1.641047,0.2800000000000001
1.641047,0.2900000000000001
1.656743,0.2900000000000001
1.656743,0.3000000000000001
1.666708,0.3000000000000001
1.666708,0.3100000000000001
1.686171,0.3100000000000001
1.686171,0.3200000000000001
1.688726,0.3200000000000001
1.688726,0.3300000000000001
1.716837,0.3300000000000001
1.716837,0.34000000000000014
1.721415,0.34000000000000014
1.721415,0.35000000000000014
1.727075,0.35000000000000014
1.727075,0.36000000000000015
1.771628,0.36000000000000015
1.771628,0.37000000000000016
1.809543,0.37000000000000016
1.809543,0.38000000000000017
1.867447,0.38000000000000017
1.867447,0.3900000000000002
1.898057,0.3900000000000002
1.898057,0.4000000000000002
1.90276,0.4000000000000002
1.90276,0.4100000000000002
1.909248,0.4100000000000002
1.909248,0.4200000000000002
1.932561,0.4200000000000002
1.932561,0.4300000000000002
1.933191,0.4300000000000002
1.933191,0.4400000000000002
1.999925,0.4400000000000002
1.999925,0.45000000000000023
2.029333,0.45000000000000023
2.029333,0.46000000000000024
2.029581,0.46000000000000024
2.029581,0.47000000000000025
2.033039,0.47000000000000025
2.033039,0.48000000000000026
2.038906,0.48000000000000026
2.038906,0.49000000000000027
2.073005,0.49000000000000027
2.073005,0.5000000000000002
2.073139,0.5000000000000002
2.073139,0.5100000000000002
2.07446,0.5100000000000002
2.07446,0.5200000000000002
2.08628,0.5200000000000002
2.08628,0.5300000000000002
2.086875,0.5300000000000002
2.086875,0.5400000000000003
2.089879,0.5400000000000003
2.089879,0.5500000000000003
2.131111,0.5500000000000003
2.131111,0.5600000000000003
2.140024,0.5600000000000003
2.140024,0.5700000000000003
2.151739,0.5700000000000003
2.151739,0.5800000000000003
2.15375,0.5800000000000003
2.15375,0.5900000000000003
2.15901,0.5900000000000003
2.15901,0.6000000000000003
2.171711,0.6000000000000003
2.171711,0.6100000000000003
2.172086,0.6100000000000003
2.172086,0.6200000000000003
2.172144,0.6200000000000003
2.172144,0.6300000000000003
2.178558,0.6300000000000003
2.178558,0.6400000000000003
2.194509,0.6400000000000003
2.194509,0.6500000000000004
2.198296,0.6500000000000004
2.198296,0.6600000000000004
2.203289,0.6600000000000004
2.203289,0.6700000000000004
2.209745,0.6700000000000004
2.209745,0.6800000000000004
2.211105,0.6800000000000004
2.211105,0.6900000000000004
2.213157,0.6900000000000004
2.213157,0.7000000000000004
2.213822,0.7000000000000004
2.213822,0.7100000000000004
2.218272,0.7100000000000004
2.218272,0.7200000000000004
2.220768,0.7200000000000004
2.220768,0.7300000000000004
2.221279,0.7300000000000004
2.221279,0.7400000000000004
2.223861,0.7400000000000004
2.223861,0.7500000000000004
2.224312,0.7500000000000004
2.224312,0.7600000000000005
2.224497,0.7600000000000005
2.224497,0.7700000000000005
2.229605,0.7700000000000005
2.229605,0.7800000000000005
2.234181,0.7800000000000005
2.234181,0.7900000000000005
2.239425,0.7900000000000005
2.239425,0.8000000000000005
2.242974,0.8000000000000005
2.242974,0.8100000000000005
2.243281,0.8100000000000005
2.243281,0.8200000000000005
2.243675,0.8200000000000005
2.243675,0.8300000000000005
2.247582,0.8300000000000005
2.247582,0.8400000000000005
2.248173,0.8400000000000005
2.248173,0.8500000000000005
2.250388,0.8500000000000005
2.250388,0.8600000000000005
2.250965,0.8600000000000005
2.250965,0.8700000000000006
2.251517,0.8700000000000006
2.251517,0.8800000000000006
2.258913,0.8800000000000006
2.258913,0.8900000000000006
2.264022,0.8900000000000006
2.264022,0.9000000000000006
2.268557,0.9000000000000006
2.268557,0.9100000000000006
2.269338,0.9100000000000006
2.269338,0.9200000000000006
2.27131,0.9200000000000006
2.27131,0.9300000000000006
2.273513,0.9300000000000006
2.273513,0.9400000000000006
2.274624,0.9400000000000006
2.274624,0.9500000000000006
2.274629,0.9500000000000006
2.274629,0.9600000000000006
2.275462,0.9600000000000006
2.275462,0.9700000000000006
2.296881,0.9700000000000006
2.296881,0.9800000000000006
2.298162,0.9800000000000006
2.298162,0.9900000000000007
2.460641,0.9900000000000007
2.460641,1.0000000000000007
