buffer size,estimate,leq estimate,leq estimate count,over estimate,over estimate count,rampup time,rebuffer ratio,time average bitrate change,time average log bitrate change,time average played bitrate,time average played utility,time average rebuffer,time average rebuffer events,time average score,total bitrate change,total log bitrate change,total play time,total play time chunks,total played bitrate,total played utility,total reaction time,total rebuffer,total rebuffer events,trace_file
25000.0,-370.577877,2774.789186,140.0,3288.004549,92.0,2.789875,0.0,177.652215,0.112458,2708.498539,1.697579,0.0,0.0,1.697579,35518.0,22.483643,599.789875,199.929958,541510.0,339.396951,80.0,0.0,0.0,trace0000.json
25000.0,-422.831919,3250.486905,143.0,4069.99767,90.0,2.984415,0.0,179.614666,0.119702,2741.101201,1.711361,0.0,0.0,1.711361,35922.0,23.9398,599.984415,199.994805,548206.0,342.263364,30.0,0.0,0.0,trace0001.json
25000.0,-768.965009,2898.478349,139.0,2413.856003,93.0,31.775168,0.0,174.421061,0.094433,2918.587965,1.982477,0.0,0.0,1.982477,34813.0,18.848109,598.775168,199.591723,582526.0,395.686032,150.0,0.0,0.0,trace0002.json
25000.0,-102.448616,3098.510782,117.0,2657.703144,127.0,3.097639,0.0,177.561105,0.1124,2579.225279,1.627969,0.0,0.0,1.627969,35518.0,22.483643,600.097639,200.032546,515929.0,325.646777,75.0,0.0,0.0,trace0003.json
25000.0,-184.569409,2110.746879,151.0,3197.439869,86.0,2.842803,0.0,179.151937,0.11791,2512.203187,1.645564,0.0,0.0,1.645564,35821.0,23.57576,599.842803,199.947601,502309.0,329.026615,80.0,0.0,0.0,trace0004.json
25000.0,0.821036,1936.737167,130.0,2399.702621,105.0,4.057892,0.0,177.374133,0.088985,3136.477295,2.230314,0.0,0.0,2.230314,35360.0,17.739322,598.057892,199.352631,625265.0,444.618898,201.115785,0.0,0.0,trace0005.json
25000.0,-759.156088,4111.700035,130.0,3276.313477,108.0,2.842803,0.0,180.61232,0.121565,2770.165772,1.735359,0.0,0.0,1.735359,36113.0,24.306557,599.842803,199.947601,553888.0,346.980852,80.0,0.0,0.0,trace0006.json
25000.0,-1267.163529,3757.412029,123.0,1735.783192,102.0,11.60414,0.001248,175.971316,0.106895,2812.103075,1.784768,0.003745,0.004997,1.778527,35215.0,21.391526,600.353527,200.117842,562752.0,357.163875,109.957667,0.749387,1.0,trace0007.json
25000.0,265.128907,2346.037093,163.0,5585.379631,80.0,4.463583,0.0,185.068905,0.116453,3005.992429,2.034445,0.0,0.0,2.034445,36919.0,23.230971,598.463583,199.487861,599659.0,405.847024,150.0,0.0,0.0,trace0008.json
25000.0,260.192372,3096.23427,144.0,4694.370689,109.0,5.252645,0.0,194.462221,0.121818,3366.027697,2.222159,0.0,0.0,2.222159,38844.0,24.333169,599.252645,199.750882,672367.0,443.878318,100.0,0.0,0.0,trace0009.json
25000.0,256.536192,1999.532719,139.0,3392.471979,100.0,10.224293,0.0,171.517608,0.08534,3070.261472,2.1583,0.0,0.0,2.1583,34202.0,17.01755,598.224293,199.408098,612235.0,430.382551,112.224293,0.0,0.0,trace0010.json
25000.0,-86.298643,2763.714812,119.0,2568.805725,120.0,4.056678,0.0,182.531195,0.096321,3227.684047,2.232347,0.0,0.005016,2.232347,36388.0,19.201718,598.056678,199.352226,643446.0,445.023254,75.0,0.0,1.0,trace0011.json
